Ticker,Number Of Shares to Buy,Market Cap
A,157.0,38334349312.0
AAL,1625.0,8321278464.0
AAP,124.0,9968198656.0
AAPL,142.0,2321400000000.0
ABBV,145.0,250823000000.0
ABC,146.0,29443069952.0
ABMD,79.0,11898027008.0
ABT,202.0,178537000000.0
ACN,76.0,172248000000.0
ADBE,70.0,136360000000.0
ADI,137.0,77799366656.0
ADM,242.0,47796318208.0
ADP,87.0,97971535872.0
ADSK,102.0,41449656320.0
AEE,256.0,21524887552.0
AEP,238.0,45474443264.0
AES,822.0,16681652224.0
AFL,350.0,37595844608.0
AIG,407.0,38798323712.0
AIV,2785.0,1155571584.0
AIZ,137.0,7837645824.0
AJG,115.0,36670390272.0
AKAM,245.0,13657584640.0
ALB,75.0,32930818048.0
ALGN,91.0,17084712960.0
ALK,490.0,5356455424.0
ALL,157.0,35657449472.0
ALLE,218.0,8363494912.0
AMAT,234.0,76464259072.0
AMCR,1886.0,16773811200.0
AMD,307.0,109096000000.0
AME,172.0,27675629568.0
AMGN,89.0,124200000000.0
AMP,75.0,28559329280.0
AMT,97.0,101145000000.0
AMZN,172.0,1200170000000.0
ANET,172.0,36657508352.0
ANSS,89.0,19855147008.0
AON,73.0,59689947136.0
AOS,406.0,8039018496.0
APA,516.0,12635077632.0
APD,86.0,54451654656.0
APH,291.0,42292273152.0
APTV,240.0,22103173120.0
ARE,148.0,23641411584.0
ATO,200.0,14796376064.0
ATVI,282.0,58864693248.0
AVB,114.0,26079881216.0
AVGO,43.0,192280000000.0
AVY,121.0,14145114112.0
AWK,156.0,24588374016.0
AXP,144.0,107889000000.0
AZO,9.0,40722812928.0
BA,158.0,75027308544.0
BAC,655.0,258775000000.0
BAX,362.0,28766261248.0
BBY,308.0,14975714304.0
BDX,88.0,67140608000.0
BEN,897.0,11514537984.0
BIIB,79.0,39117295616.0
BIO,45.0,12846929920.0
BK,505.0,32234815488.0
BKNG,12.0,69259927552.0
BKR,882.0,21956874240.0
BLK,35.0,88027979776.0
BMY,292.0,152842000000.0
BR,138.0,23425554432.0
BSX,506.0,56489107456.0
BWA,612.0,7697639424.0
BXP,280.0,11928791040.0
C,477.0,85786566656.0
CAG,618.0,16080807936.0
CAH,301.0,18208593920.0
CARR,547.0,32043272192.0
CAT,117.0,90261487616.0
CB,109.0,80244031488.0
CBOE,174.0,12519144448.0
CBRE,286.0,22401128448.0
CCI,143.0,65009979392.0
CCL,2815.0,10207731712.0
CDNS,123.0,45021458432.0
CDW,125.0,21825540096.0
CE,220.0,9955460096.0
CF,204.0,19955197952.0
CFG,579.0,17986885632.0
CHD,288.0,17441556480.0
CHRW,209.0,12328216576.0
CHTR,63.0,49652092928.0
CI,71.0,88947408896.0
CINF,216.0,15167685632.0
CL,294.0,59033653248.0
CLX,158.0,15954253824.0
CMA,276.0,9882797056.0
CMCSA,680.0,129990000000.0
CME,115.0,64996810752.0
CMG,13.0,42287808512.0
CMI,93.0,29893920768.0
CMS,357.0,17452386304.0
CNC,258.0,44744347648.0
CNP,726.0,17933154304.0
COF,211.0,36324093952.0
COO,75.0,13270086656.0
COP,180.0,145569000000.0
COST,43.0,210751000000.0
COTY,3049.0,5625655808.0
CPB,439.0,14144459776.0
CPRT,185.0,26056912896.0
