Ticker,Number Of Shares to Buy,Market Cap
A,,38334349312.0
AAL,,8321278464.0
AAP,,9968198656.0
AAPL,,2321400000000.0
ABBV,,250823000000.0
ABC,,29443069952.0
ABMD,,11898027008.0
ABT,,178537000000.0
ACN,,172248000000.0
ADBE,,136360000000.0
ADI,,77799366656.0
ADM,,47796318208.0
ADP,,97971535872.0
ADSK,,41449656320.0
AEE,,21524887552.0
AEP,,45474443264.0
AES,,16681652224.0
AFL,,37595844608.0
AIG,,38798323712.0
AIV,,1155571584.0
AIZ,,7837645824.0
AJG,,36670390272.0
AKAM,,13657584640.0
ALB,,32930818048.0
ALGN,,17084712960.0
ALK,,5356455424.0
ALL,,35657449472.0
ALLE,,8363494912.0
AMAT,,76464259072.0
AMCR,,16773811200.0
AMD,,109096000000.0
AME,,27675629568.0
AMGN,,124200000000.0
AMP,,28559329280.0
AMT,,101145000000.0
AMZN,,1200170000000.0
ANET,,36657508352.0
ANSS,,19855147008.0
AON,,59689947136.0
AOS,,8039018496.0
APA,,12635077632.0
APD,,54451654656.0
APH,,42292273152.0
APTV,,22103173120.0
ARE,,23641411584.0
ATO,,14796376064.0
ATVI,,58864693248.0
AVB,,26079881216.0
AVGO,,192280000000.0
AVY,,14145114112.0
AWK,,24588374016.0
AXP,,107889000000.0
AZO,,40722812928.0
BA,,75027308544.0
BAC,,258775000000.0
BAX,,28766261248.0
BBY,,14975714304.0
BDX,,67140608000.0
BEN,,11514537984.0
BIIB,,39117295616.0
BIO,,12846929920.0
BK,,32234815488.0
BKNG,,69259927552.0
BKR,,21956874240.0
BLK,,88027979776.0
BMY,,152842000000.0
BR,,23425554432.0
BSX,,56489107456.0
BWA,,7697639424.0
BXP,,11928791040.0
C,,85786566656.0
CAG,,16080807936.0
CAH,,18208593920.0
CARR,,32043272192.0
CAT,,90261487616.0
CB,,80244031488.0
CBOE,,12519144448.0
CBRE,,22401128448.0
CCI,,65009979392.0
CCL,,10207731712.0
CDNS,,45021458432.0
CDW,,21825540096.0
CE,,9955460096.0
CF,,19955197952.0
CFG,,17986885632.0
CHD,,17441556480.0
CHRW,,12328216576.0
CHTR,,49652092928.0
CI,,88947408896.0
CINF,,15167685632.0
CL,,59033653248.0
CLX,,15954253824.0
CMA,,9882797056.0
CMCSA,,129990000000.0
CME,,64996810752.0
CMG,,42287808512.0
CMI,,29893920768.0
CMS,,17452386304.0
CNC,,44744347648.0
CNP,,17933154304.0
COF,,36324093952.0
COO,,13270086656.0
COP,,145569000000.0
COST,,210751000000.0
COTY,,5625655808.0
CPB,,14144459776.0
CPRT,,26056912896.0
CRM,,155320000000.0
CSCO,,170414000000.0
CSX,,57999597568.0
CTAS,,40207466496.0
CTSH,,30426777600.0
CTVA,,42282373120.0
CTXS,,13183351808.0
CVS,,127855000000.0
CVX,,306250000000.0
D,,58978672640.0
DAL,,19354462208.0
DD,,27028672512.0
DE,,103942000000.0
DFS,,25484818432.0
DG,,55277543424.0
DGX,,14507159552.0
DHI,,24259766272.0
DHR,,199582000000.0
DIS,,177726000000.0
DISH,,7552297984.0
DLR,,29858254848.0
DLTR,,30307860480.0
DOV,,16827062272.0
DOW,,33172131840.0
DPZ,,11891065856.0
DRE,,18737653760.0
DRI,,16183698432.0
DTE,,22765918208.0
DUK,,73932423168.0
DVA,,7779907584.0
DVN,,44657356800.0
DXC,,6181392384.0
DXCM,,33540579328.0
EA,,33961803776.0
EBAY,,20909514752.0
ECL,,43688812544.0
ED,,30587643904.0
EFX,,21940674560.0
EIX,,21912070144.0
EL,,80021635072.0
EMN,,9402256384.0
EMR,,44567363584.0
EOG,,72707670016.0
EQIX,,53440196608.0
EQR,,26433406976.0
ES,,27937163264.0
ESS,,16414734336.0
ETN,,56644231168.0
ETR,,20745062400.0
EVRG,,14156916736.0
EW,,51963203584.0
EXC,,38298464256.0
EXPD,,14983666688.0
EXPE,,15638964224.0
EXR,,24916643840.0
F,,48765509632.0
FANG,,24000974848.0
FAST,,26807156736.0
FBHS,,7559871488.0
FCX,,43449806848.0
FDX,,40984649728.0
FE,,22010136576.0
FFIV,,8794268672.0
FIS,,48097218560.0
FISV,,61595738112.0
FITB,,23244687360.0
FLS,,3443760640.0
FLT,,14146007040.0
FMC,,14147715072.0
FOX,,17080425472.0
FOXA,,17085244416.0
FRC,,25701605376.0
FRT,,7568372736.0
FTI,,4099301632.0
FTNT,,39754616832.0
FTV,,22014087168.0
GD,,59312160768.0
GE,,71132872704.0
GILD,,81287315456.0
GIS,,46242390016.0
GL,,10103706624.0
GLW,,26251352064.0
GM,,51009880064.0
GOOG,,1321110000000.0
GOOGL,,1317300000000.0
GPC,,21978378240.0
GPN,,31882059776.0
GPS,,3119465984.0
GRMN,,16004072448.0
GS,,106590000000.0
GWW,,25490851840.0
HAL,,25022584832.0
HAS,,9277700096.0
HBAN,,20089706496.0
HBI,,2611831040.0
HCA,,57847013376.0
HD,,286440000000.0
HES,,37930934272.0
HIG,,21133488128.0
HII,,9186172928.0
HLT,,34444963840.0
HOLX,,16156347392.0
HON,,118994000000.0
HPE,,16341090304.0
HPQ,,27208329216.0
HRB,,6510790656.0
HRL,,25122764800.0
HSIC,,9153513472.0
HST,,12083697664.0
HSY,,45325524992.0
HUM,,61482397696.0
HWM,,13733224448.0
IBM,,111565000000.0
ICE,,52213030912.0
IDXX,,28044083200.0
IEX,,15784967168.0
IFF,,24273504256.0
ILMN,,32586932224.0
INCY,,15336616960.0
INTC,,112451000000.0
INTU,,115336000000.0
IP,,11668152320.0
IPG,,10297968640.0
IPGP,,4546585600.0
IQV,,35684577280.0
IR,,18788233216.0
IRM,,13758120960.0
ISRG,,68998463488.0
IT,,22578284544.0
ITW,,59168768000.0
IVZ,,6883151360.0
J,,14376955904.0
JBHT,,16536134656.0
JCI,,36500041728.0
JKHY,,13735616512.0
JNJ,,433451000000.0
JNPR,,8776578048.0
JPM,,327953000000.0
K,,24399706112.0
KEY,,15394776064.0
KEYS,,29844627456.0
KHC,,41897791488.0
KIM,,11850115072.0
KLAC,,43852316672.0
KMB,,38934568960.0
KMI,,39343943680.0
KMX,,10625719296.0
KO,,244277000000.0
KR,,31724521472.0
KSS,,3151558912.0
L,,12176041984.0
LDOS,,12668272640.0
LEG,,4673494016.0
LEN,,22760824832.0
LH,,18807658496.0
LHX,,42602831872.0
LIN,,141805000000.0
LKQ,,13310021632.0
LLY,,311587000000.0
LMT,,106504000000.0
LNC,,7937294336.0
LNT,,13334495232.0
LOW,,118074000000.0
LRCX,,54520541184.0
LUV,,19242584064.0
LVS,,30402416640.0
LW,,11266367488.0
LYB,,25244317696.0
LYV,,18482849792.0
MA,,290488000000.0
MAA,,18606469120.0
MAR,,47686279168.0
MAS,,11307572224.0
MCD,,170805000000.0
MCHP,,36502614016.0
MCK,,50755375104.0
MCO,,46058196992.0
MDLZ,,78136188928.0
MDT,,111343000000.0
MET,,51661455360.0
MGM,,12307045376.0
MHK,,6157326848.0
MKC,,19737731072.0
MKTX,,8807759872.0
MLM,,20864137216.0
MMC,,75744174080.0
MMM,,63590653952.0
MNST,,46399238144.0
MO,,75886551040.0
MOS,,17732913152.0
MPC,,53243068416.0
MRK,,223258000000.0
MRO,,16022863872.0
MS,,143664000000.0
MSCI,,35870478336.0
MSFT,,1841130000000.0
MSI,,38949289984.0
MTB,,32739717120.0
MTD,,25057802240.0
MU,,57755258880.0
NCLH,,5484378112.0
NDAQ,,29124788224.0
NEE,,155045000000.0
NEM,,35231498240.0
NFLX,,106230000000.0
NI,,10806468608.0
NKE,,138410000000.0
NLOK,,13610358784.0
NLSN,,9985353728.0
NOC,,73264087040.0
NOV,,6803330048.0
NOW,,82163499008.0
NRG,,9257553920.0
NSC,,50043113472.0
NTAP,,13850698752.0
NTRS,,18769418240.0
NUE,,31037882368.0
NVDA,,322340000000.0
NVR,,13543899136.0
NWL,,5986860032.0
NWS,,9407525888.0
NWSA,,9425430528.0
O,,37110202368.0
ODFL,,30179538944.0
OKE,,23716057088.0
OMC,,13447944192.0
ORCL,,175525000000.0
ORLY,,45964337152.0
OTIS,,28168151040.0
OXY,,61180301312.0
PAYC,,20950079488.0
PAYX,,40739872768.0
PCAR,,29787066368.0
PEAK,,12419249152.0
PEG,,29482625024.0
PEP,,228652000000.0
PFE,,248234000000.0
PFG,,19477870592.0
PG,,308660000000.0
PGR,,71908794368.0
PH,,33173125120.0
PHM,,9389558784.0
PKG,,11028499456.0
PKI,,16115017728.0
PLD,,77517570048.0
PM,,134492000000.0
PNC,,63472164864.0
PNR,,6854594048.0
PNW,,7555860480.0
PPG,,26884366336.0
PPL,,19505223680.0
PRGO,,5038751744.0
PRU,,33373437952.0
PSA,,52040331264.0
PSX,,42419077120.0
PVH,,3194475520.0
PWR,,19300954112.0
PXD,,53534019584.0
PYPL,,105922000000.0
QCOM,,136108000000.0
QRVO,,8760987648.0
RCL,,10788996096.0
RE,,10613036032.0
REG,,9508847616.0
REGN,,74582048768.0
RF,,19809196032.0
RHI,,8703534080.0
RJF,,22879608832.0
RL,,6119775232.0
RMD,,33395148800.0
ROK,,26460010496.0
ROL,,18086475776.0
ROP,,39981142016.0
ROST,,30697721856.0
RSG,,44628692992.0
RTX,,125379000000.0
SBAC,,31657336832.0
SBUX,,100780000000.0
SCHW,,141577000000.0
SEE,,6716749312.0
SHW,,56701468672.0
SIVB,,22087917568.0
SJM,,14777418752.0
SLB,,54920765440.0
SLG,,2692544000.0
SNA,,11304513536.0
SNPS,,49379549184.0
SO,,74399367168.0
SPG,,35455115264.0
SPGI,,103763000000.0
SRE,,49235095552.0
STE,,17455618048.0
STT,,23836416000.0
STX,,11760069632.0
STZ,,44356038656.0
SWK,,12159344640.0
SWKS,,14164140032.0
