,Ticker,Number Of Shares to Buy,Market Cap,returns
0,A,157.0,38334349312.0,-0.140552098726177
1,AAL,1625.0,8321278464.0,-0.3619236570710104
2,AAP,124.0,9968198656.0,-0.19542503906999498
3,AAPL,142.0,2321400000000.0,0.02742932726914867
4,ABBV,145.0,250823000000.0,0.34573282448270926
5,ABC,146.0,29443069952.0,0.21720393263814422
6,ABMD,79.0,11898027008.0,-0.2234498405965411
7,ABT,202.0,178537000000.0,-0.10927784591562298
8,ACN,76.0,172248000000.0,-0.14889360380677547
9,ADBE,70.0,136360000000.0,-0.48635485422712404
10,ADI,137.0,77799366656.0,-0.07372115667712711
11,ADM,242.0,47796318208.0,0.3967143757163784
12,ADP,87.0,97971535872.0,0.1731295175826242
13,ADSK,102.0,41449656320.0,-0.2773302002728273
14,AEE,256.0,21524887552.0,0.010209313739314706
15,AEP,238.0,45474443264.0,0.0780431987655084
16,AES,822.0,16681652224.0,0.08497640672683042
17,AFL,350.0,37595844608.0,0.1302944984127452
18,AIG,407.0,38798323712.0,-0.0818725639525397
19,AIV,2785.0,1155571584.0,0.04677692767058481
20,AIZ,137.0,7837645824.0,-0.0508194534993826
21,AJG,115.0,36670390272.0,0.19915403620186276
22,AKAM,245.0,13657584640.0,-0.17706026743693523
23,ALB,75.0,32930818048.0,0.253335643735921
24,ALGN,91.0,17084712960.0,-0.6540572309928048
25,ALK,490.0,5356455424.0,-0.2918326915873706
26,ALL,157.0,35657449472.0,0.0733809459010973
27,ALLE,218.0,8363494912.0,-0.2596234705418571
28,AMAT,234.0,76464259072.0,-0.29642194646035547
29,AMCR,1886.0,16773811200.0,-0.025457574619861086
30,AMD,307.0,109096000000.0,-0.36176604613300417
31,AME,172.0,27675629568.0,-0.02890421070325121
32,AMGN,89.0,124200000000.0,0.15515780227626794
33,AMP,75.0,28559329280.0,0.016377874186015207
34,AMT,97.0,101145000000.0,-0.18213065368570047
35,AMZN,172.0,1200170000000.0,-0.2675091205826084
36,ANET,172.0,36657508352.0,0.333077008693973
37,ANSS,89.0,19855147008.0,-0.3294141204209957
38,AON,73.0,59689947136.0,-0.028877020479643502
39,AOS,406.0,8039018496.0,-0.1897377141764823
40,APA,516.0,12635077632.0,0.7996682785122022
41,APD,86.0,54451654656.0,-0.05462931067569046
42,APH,291.0,42292273152.0,-0.03869393987071512
43,APTV,240.0,22103173120.0,-0.4714806015703405
44,ARE,148.0,23641411584.0,-0.2554595664560508
45,ATO,200.0,14796376064.0,0.18984434782548038
46,ATVI,282.0,58864693248.0,-0.03631703558051413
47,AVB,114.0,26079881216.0,-0.1686864572200681
48,AVGO,43.0,192280000000.0,0.011146983113142947
49,AVY,121.0,14145114112.0,-0.18193251951963796
50,AWK,156.0,24588374016.0,-0.21399257426565976
51,AXP,144.0,107889000000.0,-0.1641151890501174
52,AZO,9.0,40722812928.0,0.3336164214090565
53,BA,158.0,75027308544.0,-0.41668137097069224
54,BAC,655.0,258775000000.0,-0.2604333758785276
55,BAX,362.0,28766261248.0,-0.27228886615669634
56,BBY,308.0,14975714304.0,-0.34311041933503633
57,BDX,88.0,67140608000.0,0.017855852341727582
58,BEN,897.0,11514537984.0,-0.20195878635086945
59,BIIB,79.0,39117295616.0,-0.09062788882765177
60,BIO,45.0,12846929920.0,-0.37655855812704914
61,BK,505.0,32234815488.0,-0.2199690887705387
62,BKNG,12.0,69259927552.0,-0.3006440012403807
63,BKR,882.0,21956874240.0,-0.017952517883194755
64,BLK,35.0,88027979776.0,-0.28960566297228274
65,BMY,292.0,152842000000.0,0.23898242792607932
66,BR,138.0,23425554432.0,-0.09317873982730086
67,BSX,506.0,56489107456.0,-0.05318660595216971
68,BWA,612.0,7697639424.0,-0.24112307001252334
69,BXP,280.0,11928791040.0,-0.31684919605008105
70,C,477.0,85786566656.0,-0.37100216638886696
71,CAG,618.0,16080807936.0,0.024778912133078222
72,CAH,301.0,18208593920.0,0.46603237523368446
73,CARR,547.0,32043272192.0,-0.27448280668818414
74,CAT,117.0,90261487616.0,-0.06839867105716238
75,CB,109.0,80244031488.0,0.08672078729517854
76,CBOE,174.0,12519144448.0,-0.04191668989377132
77,CBRE,286.0,22401128448.0,-0.26054336077925017
78,CCI,143.0,65009979392.0,-0.1278914118257412
79,CCL,2815.0,10207731712.0,-0.6966108657501476
80,CDNS,123.0,45021458432.0,0.11461410146628695
81,CDW,125.0,21825540096.0,-0.05078792277576732
82,CE,220.0,9955460096.0,-0.39641779663133764
83,CF,204.0,19955197952.0,0.7188837859287031
84,CFG,579.0,17986885632.0,-0.23005326904164283
85,CHD,288.0,17441556480.0,-0.11633400680413157
86,CHRW,209.0,12328216576.0,0.14081563163819028
87,CHTR,63.0,49652092928.0,-0.5561965181457323
88,CI,71.0,88947408896.0,0.4623855335957341
89,CINF,216.0,15167685632.0,-0.16763692909575553
90,CL,294.0,59033653248.0,-0.03701227109290722
91,CLX,158.0,15954253824.0,-0.1783291696497936
92,CMA,276.0,9882797056.0,-0.06961214857762185
93,CMCSA,680.0,129990000000.0,-0.45027350888438283
94,CME,115.0,64996810752.0,-0.07533406868748645
95,CMG,13.0,42287808512.0,-0.17701592968392682
96,CMI,93.0,29893920768.0,-0.01880267243707435
97,CMS,357.0,17452386304.0,-0.006498335949943427
98,CNC,258.0,44744347648.0,0.2632483354157036
99,CNP,726.0,17933154304.0,0.1536662019333659
100,COF,211.0,36324093952.0,-0.39962135434109647
101,COO,75.0,13270086656.0,-0.331113990811379
102,COP,180.0,145569000000.0,0.7004363003502891
103,COST,43.0,210751000000.0,0.0675096979892128
104,COTY,3049.0,5625655808.0,-0.1613692081192424
105,CPB,439.0,14144459776.0,0.16454294699324515
106,CPRT,185.0,26056912896.0,-0.1993895726412781
107,CRM,133.0,155320000000.0,-0.4310219121289763
108,CSCO,498.0,170414000000.0,-0.21286789150455177
109,CSX,751.0,57999597568.0,-0.12519909248135147
110,CTAS,50.0,40207466496.0,0.038119112083209804
111,CTSH,345.0,30426777600.0,-0.1832228351985739
112,CTVA,340.0,42282373120.0,0.46351733318595706
113,CVS,208.0,127855000000.0,0.21964236237550738
114,CVX,131.0,306250000000.0,0.5600255083616164
115,D,303.0,58978672640.0,-0.03369207232097655
116,DAL,685.0,19354462208.0,-0.3012820456837941
117,DD,384.0,27028672512.0,-0.21333498935086684
118,DE,58.0,103942000000.0,0.04697275766138292
119,DFS,216.0,25484818432.0,-0.22526066360562472
120,DG,86.0,55277543424.0,0.1612869051827625
121,DGX,163.0,14507159552.0,-0.0921380386408006
122,DHI,287.0,24259766272.0,-0.1265950286850281
123,DHR,74.0,199582000000.0,-0.06389665426365626
124,DIS,207.0,177726000000.0,-0.4327837530609236
125,DISH,1390.0,7552297984.0,-0.668137686162194
126,DLR,211.0,29858254848.0,-0.28600028524491444
127,DLTR,146.0,30307860480.0,0.45258441473351924
128,DOV,168.0,16827062272.0,-0.21267436618583724
129,DOW,454.0,33172131840.0,-0.1742867387037228
130,DPZ,62.0,11891065856.0,-0.2983054984559135
131,DRI,157.0,16183698432.0,-0.12275003887002768
132,DTE,180.0,22765918208.0,0.03838578412752954
133,DUK,222.0,73932423168.0,-0.03283478376067611
134,DVA,234.0,7779907584.0,-0.22023236494832113
135,DVN,295.0,44657356800.0,0.9890506100449338
136,DXC,766.0,6181392384.0,-0.21183266195398365
137,DXCM,229.0,33540579328.0,-0.3243198025285912
138,EA,170.0,33961803776.0,-0.10350679754821245
139,EBAY,534.0,20909514752.0,-0.46396607501766207
140,ECL,138.0,43688812544.0,-0.2924098352877212
141,ED,242.0,30587643904.0,0.20243269218197016
142,EFX,116.0,21940674560.0,-0.30100092625680247
143,EIX,348.0,21912070144.0,0.09820040578155756
144,EL,92.0,80021635072.0,-0.27505068139597943
145,EMN,273.0,9402256384.0,-0.24781530964099394
146,EMR,262.0,44567363584.0,-0.16172176983953143
147,EOG,165.0,72707670016.0,0.5968824109993991
148,EQIX,36.0,53440196608.0,-0.2323885045252347
149,EQR,314.0,26433406976.0,-0.1789638521592235
150,ES,265.0,27937163264.0,-0.05654285122076003
151,ESS,88.0,16414734336.0,-0.2606884068174179
152,ETN,144.0,56644231168.0,-0.041262761545755484
153,ETR,199.0,20745062400.0,0.0512336707567705
154,EVRG,347.0,14156916736.0,-0.006995167639087003
155,EW,239.0,51963203584.0,-0.2114708005889956
156,EXC,540.0,38298464256.0,0.14764526772955455
157,EXPD,230.0,14983666688.0,-0.20548422275067932
158,EXPE,211.0,15638964224.0,-0.4254788385927447
159,EXR,117.0,24916643840.0,0.06519211547634485
160,F,1672.0,48765509632.0,-0.13709908238111887
161,FANG,150.0,24000974848.0,0.4017300187621148
162,FAST,434.0,26807156736.0,-0.0663929258032323
163,FBHS,359.0,7559871488.0,-0.38165042704432384
164,FCX,685.0,43449806848.0,-0.09826143338984128
165,FDX,133.0,40984649728.0,-0.2843390999432797
166,FE,553.0,22010136576.0,0.0770527513517306
167,FFIV,133.0,8794268672.0,-0.22817067326695217
168,FIS,262.0,48097218560.0,-0.3313237363954526
169,FISV,208.0,61595738112.0,-0.07971809366809844
170,FITB,613.0,23244687360.0,-0.19688370634641836
171,FLS,779.0,3443760640.0,-0.22275602259020416
172,FLT,111.0,14146007040.0,-0.290886329830256
173,FMC,186.0,14147715072.0,0.27028451010168636
174,FOX,715.0,17080425472.0,-0.23613812073953933
175,FOXA,663.0,17085244416.0,-0.2418795688371153
176,FRC,148.0,25701605376.0,-0.3030442652674433
177,FRT,224.0,7568372736.0,-0.20441722862134973
178,FTI,2259.0,4099301632.0,0.1887035011845027
179,FTNT,390.0,39754616832.0,-0.13458432372810825
180,FTV,337.0,22014087168.0,-0.12969327355337584
181,GD,92.0,59312160768.0,0.14253531213739865
182,GE,310.0,71132872704.0,-0.3581244547105205
183,GILD,319.0,81287315456.0,0.006208618641291554
